kind,run_id,batch,n_ids,n_needed_fetch,n_served,n_rows,seconds,seconds_per_source,source_id,n_transits_used,verdict
source,m6_cache_20260824T181908,12,,,,90,0.021,,5.6335839192983834e+17,558.0,CONFIRMED
source,m6_cache_20260824T181908,12,,,,75,0.02,,2.6169060156270577e+18,597.0,SPURIOUS
source,m6_cache_20260824T181908,12,,,,115,0.022,,5.057007920103477e+18,824.0,CONFIRMED
source,m6_cache_20260824T181908,12,,,,97,0.02,,1.9228767570049354e+18,637.0,SPURIOUS
source,m6_cache_20260824T181908,12,,,,74,0.021,,1.302010887584231e+18,576.0,SPURIOUS
source,m6_cache_20260824T181908,12,,,,115,0.02,,2.0275827296295337e+18,824.0,CONFIRMED
source,m6_cache_20260824T181908,12,,,,75,0.022,,4.930855178612915e+18,597.0,SPURIOUS
source,m6_cache_20260824T181908,12,,,,81,0.026,,1.3959781749497083e+18,462.0,SPURIOUS
source,m6_cache_20260824T181908,12,,,,73,0.025,,1.5771119953870712e+18,608.0,SPURIOUS
source,m6_cache_20260824T181908,12,,,,81,0.026,,5.882977513221449e+18,649.0,SPURIOUS
batch,m6_cache_20260824T181908,13,20.0,0.0,0.0,0,0.0,0.0,,,
source,m6_cache_20260824T181908,13,,,,77,0.02,,2.1685310879995535e+18,558.0,CONFIRMED
source,m6_cache_20260824T181908,13,,,,88,0.019,,3.692114626793521e+18,702.0,SPURIOUS
source,m6_cache_20260824T181908,13,,,,77,0.021,,1.7921546169874335e+18,558.0,CONFIRMED
source,m6_cache_20260824T181908,13,,,,73,0.026,,1.8903148232274452e+18,608.0,SPURIOUS
source,m6_cache_20260824T181908,13,,,,81,0.021,,1.2011240643058836e+18,649.0,SPURIOUS
source,m6_cache_20260824T181908,13,,,,75,0.02,,4.2217954543090836e+18,597.0,SPURIOUS
source,m6_cache_20260824T181908,13,,,,95,0.021,,4.0699213562899016e+18,781.0,SPURIOUS
