IAUNAME,DETUID,RA,DEC,DET_LIKE_0,ML_RATE_1,ML_EXP_1
3eRASS J013041.6-251826,sb03_021114_020_ML00033_001_c030,22.67360983983209,-25.307456575391086,240.53432,0.22609642,382.73386
3eRASS J064532.5+132100,sm03_102078_020_ML00022_001_c030,101.3855496079454,13.350173238322002,137.6416,0.22562136,248.64058
3eRASS J100816.0+313611,sm03_154057_020_ML00032_001_c030,152.06670332492737,31.603203958338955,138.24506,0.22541384,228.7491
3eRASS J161117.1-410416,sm03_243132_020_ML00019_001_c030,242.82130049885265,-41.07120983488609,195.72331,0.22471194,395.03525
3eRASS J082105.1-174221,sm03_127108_020_ML00016_001_c030,125.27135904760837,-17.70601923814996,177.8165,0.22439532,284.4335
3eRASS J130509.0-434527,sm03_197135_020_ML00030_001_c030,196.28761014669146,-43.7577465224722,295.48145,0.2241743,490.9663
3eRASS J112005.0+041324,sm03_170087_020_ML00030_001_c030,170.02120080644352,4.2234732437133005,164.84601,0.22416165,270.42795
3eRASS J005816.3-323645,sm03_016123_020_ML00028_001_c030,14.568309550091604,-32.61261804537796,202.21036,0.22409163,328.05145
3eRASS J181343.0-341400,sb03_274123_020_ML00007_001_c030,273.4291676563142,-34.233441955655536,49.477222,0.2238171,260.64236
3eRASS J190721.6-393258,sb03_286129_020_ML00027_001_c030,286.84036122419894,-39.54962174396872,125.915405,0.2228847,248.45119
3eRASS J204102.6-523553,sm03_308144_020_ML00023_001_c030,310.2610028123065,-52.59830766479917,122.28703,0.22176586,277.3872
3eRASS J111716.9+260540,sm03_168063_020_ML00021_001_c030,169.32049490946656,26.094507608645223,126.75943,0.22107153,242.68854
3eRASS J130410.8-254526,sm03_195117_020_ML00025_001_c030,196.04528603138277,-25.757248852983,259.5718,0.22105965,418.90854
